customer_id,first_name,last_name,email,age,gender,city,state,registration_date,customer_segment,first_purchase,last_purchase,total_transactions,total_spent,avg_order_value,days_since_last_purchase,is_churned
1,Danielle,Anderson,reedchad@example.com,40,M,Janicefort,PW,2023-07-06,Regular,2022-01-09,2024-12-10,15,532.62,35.51,251,1
2,Angel,Hart,claytimothy@example.org,33,M,North Shelly,GA,2025-08-12,Regular,2022-06-15,2024-05-12,10,392.53,39.25,463,0
3,Joshua,Stone,jennifer10@example.com,42,M,Walkerberg,UT,2022-09-22,Budget,2022-11-16,2024-06-30,6,153.98,25.66,414,0
4,Jeffrey,Welch,debrareynolds@example.com,53,M,New Maxwell,RI,2023-05-25,Regular,2022-02-27,2024-07-21,12,631.82,52.65,393,0
5,Jill,Vasquez,andrewbrown@example.org,32,M,Livingstontown,UT,2023-04-21,Regular,2022-09-26,2024-06-29,6,349.23,58.21,415,1
6,Erica,White,vfleming@example.org,32,F,Jennaview,ID,2024-02-11,Regular,2022-03-27,2024-11-12,9,719.36,79.93,279,0
7,Patricia,Lynch,xwilliams@example.com,53,F,Port Jessicaberg,ID,2023-01-25,Regular,2022-03-05,2024-12-12,11,319.59,29.05,249,0
8,Christopher,Erickson,russellsimmons@example.org,44,F,Matthewport,SD,2024-08-12,Budget,2022-04-23,2024-10-14,18,554.52,30.81,308,1
9,Robert,Krause,kimpenny@example.com,29,M,Boydbury,NH,2024-04-10,Regular,2022-03-17,2024-10-18,9,218.71,24.3,304,0
10,Anthony,Smith,james60@example.org,41,M,Staffordmouth,KY,2024-06-15,Budget,2022-05-07,2024-07-20,10,453.39,45.34,394,0
11,Jeffery,Johnson,christophersmith@example.com,29,M,West Damonchester,DE,2024-06-26,Budget,2022-07-11,2024-08-11,14,538.36,38.45,372,0
12,William,Garrett,ritteralexis@example.net,29,F,Maddoxside,MI,2024-11-22,Premium,2022-04-06,2024-11-22,12,451.25,37.6,269,0
13,Anthony,Wilson,lisajones@example.org,37,F,West Kristinachester,ID,2025-04-11,Regular,2022-02-10,2024-11-17,14,689.19,49.23,274,1
14,James,Charles,cwhite@example.com,18,F,Ricardomouth,PR,2025-03-24,Budget,2022-05-19,2024-07-31,8,275.42,34.43,383,0
15,Debra,Marsh,carrie34@example.org,18,M,New Peter,MA,2023-05-15,Regular,2022-01-23,2024-10-23,14,640.98,45.78,299,1
16,Amy,Duarte,hmendoza@example.net,28,F,Normantown,OH,2023-02-17,Premium,2022-03-23,2024-08-12,10,661.85,66.18,371,0
17,Jeffrey,Gutierrez,jonesshawna@example.org,22,M,Tamaraview,GU,2023-04-30,Regular,2022-05-02,2024-11-17,7,263.29,37.61,274,0
18,Bridget,Cook,wthornton@example.org,38,F,Juliechester,AS,2024-09-15,Regular,2022-01-15,2024-12-10,12,340.45,28.37,251,0
19,Lisa,Castro,xmarquez@example.net,24,F,Reeseborough,VA,2023-11-04,Budget,2022-03-16,2024-12-07,9,273.91,30.43,254,0
20,Adam,Walsh,misty38@example.com,18,F,Lake Gregory,FM,2024-05-28,Premium,2022-08-14,2024-02-18,3,66.83,22.28,547,0
21,Linda,Smith,heidi81@example.org,52,F,Lake Frankside,VI,2023-04-24,Premium,2022-01-27,2024-08-15,15,935.75,62.38,368,0
22,Helen,Harris,rachel97@example.com,32,M,Michaelmouth,IN,2023-01-18,Budget,2022-02-02,2024-10-12,13,565.38,43.49,310,1
23,Matthew,Campbell,harrisderrick@example.net,35,F,Johnsonchester,IL,2023-07-06,Budget,2022-02-15,2024-10-15,11,202.3,18.39,307,1
